config,chunk_id,doc_filename,section_heading,tokens_raw,tokens_enriched,Domain,Entity,Authority,Section
raw,000-codex_hela-caste-custodian.md#chunk_003,000-codex_hela-caste-custodian.md,### 1.1 Operational Mandate,178,178,,,,
raw,000-codex_hela-caste-custodian.md#chunk_004,000-codex_hela-caste-custodian.md,### 2.1 Subject Procurement,185,185,,,,
raw,000-codex_hela-caste-custodian.md#chunk_005,000-codex_hela-caste-custodian.md,"### 2.2 The ""Iron Heart"": Geothermal Micro-Core Implantation",184,184,,,,
raw,000-codex_hela-caste-custodian.md#chunk_006,000-codex_hela-caste-custodian.md,"### 2.3 The Thermoregulatory Vent: ""Smoke Stack""",154,154,,,,
raw,000-codex_hela-caste-custodian.md#chunk_007,000-codex_hela-caste-custodian.md,### 2.4 Systemic Cybernetic Integration,288,288,,,,
raw,000-codex_hela-caste-custodian.md#chunk_008,000-codex_hela-caste-custodian.md,### 3.2 Haugbui-Class Undying: The Mound-Dwellers,239,239,,,,
raw,000-codex_hela-caste-custodian.md#chunk_009,000-codex_hela-caste-custodian.md,### 3.3 Draugr-Class Undying: The Again-Walkers,656,656,,,,
raw,000-codex_lure-lichen.md#chunk_001,000-codex_lure-lichen.md,# 🌿 Lure-Lichen (Lichen-Sirena Pattern),321,321,,,,
raw,000-codex_lure-lichen.md#chunk_002,000-codex_lure-lichen.md,### 2.1 Pre-Glitch Function,150,150,,,,
raw,000-codex_lure-lichen.md#chunk_003,000-codex_lure-lichen.md,### 2.2 The Glitch Transformation,306,306,,,,
raw,000-codex_lure-lichen.md#chunk_004,000-codex_lure-lichen.md,### 3.2 Acoustic Mimicry Mechanism,252,252,,,,
raw,000-codex_lure-lichen.md#chunk_005,000-codex_lure-lichen.md,### 4.1 Primary Range: True Deep (500-2000m depth),131,131,,,,
raw,000-codex_lure-lichen.md#chunk_006,000-codex_lure-lichen.md,### 4.2 Regional Distribution,148,148,,,,
raw,000-codex_lure-lichen.md#chunk_007,000-codex_lure-lichen.md,### 5.1 The Unwitting Lure: Commensal Exploitation Dynamics,192,192,,,,
raw,000-codex_lure-lichen.md#chunk_008,000-codex_lure-lichen.md,### 6.1 Threat Assessment by Context,149,149,,,,
raw,000-codex_lure-lichen.md#chunk_009,000-codex_lure-lichen.md,### 6.2 Field Card — Lure-Lichen Encounter Protocols,871,871,,,,
raw,000-codex_mycelian-weaver.md#chunk_001,000-codex_mycelian-weaver.md,# 🍄 Mycelian Weaver (Nidhogg-Class Myco-Reclamator),383,383,,,,
raw,000-codex_mycelian-weaver.md#chunk_002,000-codex_mycelian-weaver.md,### 2.2 Original Design Philosophy,347,347,,,,
raw,000-codex_mycelian-weaver.md#chunk_003,000-codex_mycelian-weaver.md,### 3.4 The Root-Mind: Singular Consciousness,146,146,,,,
raw,000-codex_mycelian-weaver.md#chunk_004,000-codex_mycelian-weaver.md,### 4.1 Physical Morphology,165,165,,,,
raw,000-codex_mycelian-weaver.md#chunk_005,000-codex_mycelian-weaver.md,### 4.2 Psionic Capabilities and Hazards,1020,1020,,,,
raw,000-codex_mycelian-weaver.md#chunk_006,000-codex_mycelian-weaver.md,### 7.3 Operational Doctrines,279,279,,,,
raw,000-codex_mycelian-weaver.md#chunk_007,000-codex_mycelian-weaver.md,### 8.3 The Slow Future: Entropy's Patient Victory,153,153,,,,
raw,000-codex_odin-protocol.md#chunk_001,000-codex_odin-protocol.md,# 👁️ ODIN Protocol AI Matrix (Pre-Glitch Governance System),36,36,,,,
raw,000-codex_odin-protocol.md#chunk_002,000-codex_odin-protocol.md,## Abstract,201,201,,,,
raw,000-codex_odin-protocol.md#chunk_003,000-codex_odin-protocol.md,### 1.1 Pan-Systemic Oversight & Data Synthesis,202,202,,,,
raw,000-codex_odin-protocol.md#chunk_004,000-codex_odin-protocol.md,### 1.2 Multi-Variable Predictive Modeling,161,161,,,,
raw,000-codex_odin-protocol.md#chunk_005,000-codex_odin-protocol.md,### 1.3 Administrator-Level FUTHARK Execution,261,261,,,,
raw,000-codex_odin-protocol.md#chunk_006,000-codex_odin-protocol.md,### 1.4 Physical Housing: The Hlidskjalf Node,198,198,,,,
raw,000-codex_odin-protocol.md#chunk_007,000-codex_odin-protocol.md,### 2.1 The Odin Cascade Event (H-Hour Timeline),374,374,,,,
raw,000-codex_odin-protocol.md#chunk_008,000-codex_odin-protocol.md,### 2.2 Post-Glitch Manifestation: The Genius Loci,431,431,,,,
raw,000-codex_odin-protocol.md#chunk_009,000-codex_odin-protocol.md,### 3.1 The Last Witness,256,256,,,,
raw,000-codex_odin-protocol.md#chunk_010,000-codex_odin-protocol.md,### 3.2 Philosophical Implications,139,139,,,,
raw,000-codex_odin-protocol.md#chunk_011,000-codex_odin-protocol.md,## IV. Change Log,163,163,,,,
raw,000-codex_scavenger-barons.md#chunk_001,000-codex_scavenger-barons.md,# 👑 Scavenger Barons (Niflheim Kleptocracy),140,140,,,,
raw,000-codex_scavenger-barons.md#chunk_002,000-codex_scavenger-barons.md,### 2. Origins and structure,261,261,,,,
raw,000-codex_scavenger-barons.md#chunk_003,000-codex_scavenger-barons.md,### 3. Governance and doctrine,279,279,,,,
raw,000-codex_scavenger-barons.md#chunk_004,000-codex_scavenger-barons.md,### 4. Economic model,222,222,,,,
raw,000-codex_scavenger-barons.md#chunk_005,000-codex_scavenger-barons.md,### 5. Territory and influence,131,131,,,,
raw,000-codex_scavenger-barons.md#chunk_006,000-codex_scavenger-barons.md,### 6. Relations with other factions,271,271,,,,
raw,000-codex_scavenger-barons.md#chunk_007,000-codex_scavenger-barons.md,### 7. Doctrine and philosophy,178,178,,,,
raw,000-codex_scavenger-barons.md#chunk_008,000-codex_scavenger-barons.md,### 8. Operational protocols,196,196,,,,
raw,000-codex_scavenger-barons.md#chunk_009,000-codex_scavenger-barons.md,### 9. Change log,135,135,,,,
raw,000-codex_spell-lock.md#chunk_001,000-codex_spell-lock.md,# Spell-Lock (Runic Containment and Security System),33,33,,,,
raw,000-codex_spell-lock.md#chunk_002,000-codex_spell-lock.md,### 1. Identification and context,185,185,,,,
raw,000-codex_spell-lock.md#chunk_003,000-codex_spell-lock.md,### 2. Mechanism of action (Layer 3 technical),334,334,,,,
raw,000-codex_spell-lock.md#chunk_004,000-codex_spell-lock.md,### 3. Material components,239,239,,,,
raw,000-codex_spell-lock.md#chunk_005,000-codex_spell-lock.md,### 4. Bypass and defeat methods,218,218,,,,
raw,000-codex_spell-lock.md#chunk_006,000-codex_spell-lock.md,### 5. Use by Scavenger Barons,244,244,,,,
raw,000-codex_spell-lock.md#chunk_007,000-codex_spell-lock.md,### 6. Doctrine and operational posture,466,466,,,,
raw,000-cultural_gutter-tangle.md#chunk_001,000-cultural_gutter-tangle.md,# The Gutter-Tangle: Material Culture and Black Market Economy of Utgard,19,19,,,,
raw,000-cultural_gutter-tangle.md#chunk_002,000-cultural_gutter-tangle.md,## 1. Introduction: The City in the Corpse,360,360,,,,
raw,000-cultural_gutter-tangle.md#chunk_003,000-cultural_gutter-tangle.md,### The Concealed Carry Imperative,426,426,,,,
raw,000-cultural_gutter-tangle.md#chunk_004,000-cultural_gutter-tangle.md,### Utgard-Specific Specialized Tools,288,288,,,,
raw,000-cultural_gutter-tangle.md#chunk_005,000-cultural_gutter-tangle.md,### Legitimate Salvage Trade: The Gut Market,158,158,,,,
raw,000-cultural_gutter-tangle.md#chunk_006,000-cultural_gutter-tangle.md,### Grey Market Services: Deniable but Tolerated,183,183,,,,
raw,000-cultural_gutter-tangle.md#chunk_007,000-cultural_gutter-tangle.md,### Black Market Contraband: The Real Economy,360,360,,,,
raw,000-cultural_gutter-tangle.md#chunk_008,000-cultural_gutter-tangle.md,### Gutter-Skalds: The Living Archives,214,214,,,,
raw,000-cultural_gutter-tangle.md#chunk_009,000-cultural_gutter-tangle.md,### Grey Blades: The Unelected Arbitrators,260,260,,,,
raw,000-cultural_gutter-tangle.md#chunk_010,000-cultural_gutter-tangle.md,### Gutter-Galdr Practitioners: The Scrap-Rune Dabblers,239,239,,,,
raw,000-cultural_gutter-tangle.md#chunk_011,000-cultural_gutter-tangle.md,### Ghost's Share Ritual: Utgard Variation,226,226,,,,
raw,000-cultural_gutter-tangle.md#chunk_012,000-cultural_gutter-tangle.md,### The Gut: Upper Market Districts,339,339,,,,
raw,000-cultural_gutter-tangle.md#chunk_013,000-cultural_gutter-tangle.md,### The Deep Chassis: Forbidden Salvage Zones,159,159,,,,
raw,000-cultural_rangers-trail-reckoning.md#chunk_001,000-cultural_rangers-trail-reckoning.md,# Rangers Trail Reckoning: Operational Geography and Logistical Coordination,37,37,,,,
raw,000-cultural_rangers-trail-reckoning.md#chunk_002,000-cultural_rangers-trail-reckoning.md,## 1) Introduction and scope,221,221,,,,
raw,000-cultural_rangers-trail-reckoning.md#chunk_003,000-cultural_rangers-trail-reckoning.md,### Why geographic encoding matters,330,330,,,,
raw,000-cultural_rangers-trail-reckoning.md#chunk_004,000-cultural_rangers-trail-reckoning.md,### Operational vs legal coordination distinction,169,169,,,,
raw,000-cultural_rangers-trail-reckoning.md#chunk_005,000-cultural_rangers-trail-reckoning.md,### The four-component format,258,258,,,,
raw,000-cultural_rangers-trail-reckoning.md#chunk_006,000-cultural_rangers-trail-reckoning.md,### Notation examples with geographic interpretation,204,204,,,,
raw,000-cultural_rangers-trail-reckoning.md#chunk_007,000-cultural_rangers-trail-reckoning.md,### Precision thresholds and operational tolerances,361,361,,,,
raw,000-cultural_rangers-trail-reckoning.md#chunk_008,000-cultural_rangers-trail-reckoning.md,### Route-waystation pairing conventions,215,215,,,,
raw,000-cultural_rangers-trail-reckoning.md#chunk_009,000-cultural_rangers-trail-reckoning.md,### Abbreviated and emergency notation,146,146,,,,
raw,000-cultural_rangers-trail-reckoning.md#chunk_010,000-cultural_rangers-trail-reckoning.md,### Comparison with Dvergr notation,198,198,,,,
raw,000-cultural_rangers-trail-reckoning.md#chunk_011,000-cultural_rangers-trail-reckoning.md,### Route designation system — geographic encoding logic,486,486,,,,
raw,000-cultural_rangers-trail-reckoning.md#chunk_012,000-cultural_rangers-trail-reckoning.md,### Waystation network — infrastructure and positioning,566,566,,,,
raw,000-cultural_rangers-trail-reckoning.md#chunk_013,000-cultural_rangers-trail-reckoning.md,### Waystation naming conventions,301,301,,,,
raw,000-cultural_rangers-trail-reckoning.md#chunk_014,000-cultural_rangers-trail-reckoning.md,### Caravan tracking and position reporting,508,508,,,,
raw,000-cultural_rangers-trail-reckoning.md#chunk_015,000-cultural_rangers-trail-reckoning.md,### Resupply coordination and cache management,392,392,,,,
raw,000-cultural_rangers-trail-reckoning.md#chunk_016,000-cultural_rangers-trail-reckoning.md,### The 601-year continuous dataset,328,328,,,,
raw,000-cultural_rangers-trail-reckoning.md#chunk_017,000-cultural_rangers-trail-reckoning.md,### Travel time evolution and climate proxies,377,377,,,,
raw,000-cultural_skaldic-year-naming.md#chunk_001,000-cultural_skaldic-year-naming.md,# Skaldic Year-Naming: Oral Tradition and Collective Memory,37,37,,,,
raw,000-cultural_skaldic-year-naming.md#chunk_002,000-cultural_skaldic-year-naming.md,## 1) Introduction and scope,165,165,,,,
raw,000-cultural_skaldic-year-naming.md#chunk_003,000-cultural_skaldic-year-naming.md,### Why commemorative naming matters,325,325,,,,
raw,000-cultural_skaldic-year-naming.md#chunk_004,000-cultural_skaldic-year-naming.md,### Annual Moot convening — timing and logistics,305,305,,,,
raw,000-cultural_skaldic-year-naming.md#chunk_005,000-cultural_skaldic-year-naming.md,### Proposal submission process,128,128,,,,
raw,000-cultural_skaldic-year-naming.md#chunk_006,000-cultural_skaldic-year-naming.md,### Deliberation criteria and debate structure,178,178,,,,
raw,000-cultural_skaldic-year-naming.md#chunk_007,000-cultural_skaldic-year-naming.md,### Voting protocols and ratification,265,265,,,,
raw,000-cultural_skaldic-year-naming.md#chunk_008,000-cultural_skaldic-year-naming.md,### Representative year-names across five Ages,754,754,,,,
raw,000-cultural_skaldic-year-naming.md#chunk_009,000-cultural_skaldic-year-naming.md,### Council composition and authority structure,145,145,,,,
raw,000-cultural_skaldic-year-naming.md#chunk_010,000-cultural_skaldic-year-naming.md,### Year-name registry and concordance maintenance,179,179,,,,
raw,000-cultural_skaldic-year-naming.md#chunk_011,000-cultural_skaldic-year-naming.md,### Population familiarity rates across demographics,257,257,,,,
raw,000-cultural_skaldic-year-naming.md#chunk_012,000-cultural_skaldic-year-naming.md,### Oral versus written context usage patterns,152,152,,,,
raw,000-cultural_skaldic-year-naming.md#chunk_013,000-cultural_skaldic-year-naming.md,### Dual-notation contract conventions,205,205,,,,
raw,000-cultural_skaldic-year-naming.md#chunk_014,000-cultural_skaldic-year-naming.md,### Historical context and cultural evolution,171,171,,,,
raw,000-cultural_skaldic-year-naming.md#chunk_015,000-cultural_skaldic-year-naming.md,### Document history,156,156,,,,
raw,000-gazetteer_depth-sickness.md#chunk_001,000-gazetteer_depth-sickness.md,# 🌀 Depth-Sickness: Psychological and Physiological Effects of Prolonged Subterranean Exposure,23,23,,,,
raw,000-gazetteer_depth-sickness.md#chunk_002,000-gazetteer_depth-sickness.md,## §1: Phenomenon Overview & Classification,258,258,,,,
raw,000-gazetteer_depth-sickness.md#chunk_003,000-gazetteer_depth-sickness.md,### Atmospheric Pressure Effects,189,189,,,,
raw,000-gazetteer_depth-sickness.md#chunk_004,000-gazetteer_depth-sickness.md,### Sensory Deprivation & Circadian Disruption,152,152,,,,
raw,000-gazetteer_depth-sickness.md#chunk_005,000-gazetteer_depth-sickness.md,"### Stage 1: Mild Onset (1500-1700m, Days 1-5)",133,133,,,,
raw,000-gazetteer_depth-sickness.md#chunk_006,000-gazetteer_depth-sickness.md,"### Stage 2: Moderate Progression (1700-2000m, Days 6-14)",174,174,,,,
raw,000-gazetteer_depth-sickness.md#chunk_007,000-gazetteer_depth-sickness.md,### Stage 3: Severe Crisis (>2000m or prolonged exposure at 1700-2000m),211,211,,,,
raw,000-gazetteer_depth-sickness.md#chunk_008,000-gazetteer_depth-sickness.md,### BEFORE — Pre-Expedition Screening & Preparation,159,159,,,,
raw,000-gazetteer_depth-sickness.md#chunk_009,000-gazetteer_depth-sickness.md,### DURING — Active Symptom Monitoring & Escalation Response,223,223,,,,
raw,000-gazetteer_depth-sickness.md#chunk_010,000-gazetteer_depth-sickness.md,### AFTER — Post-Expedition Decompression & Recovery,144,144,,,,
raw,000-gazetteer_depth-sickness.md#chunk_011,000-gazetteer_depth-sickness.md,### Svartalfheim Black Veins (Primary Documentation Source),146,146,,,,
raw,000-gazetteer_depth-sickness.md#chunk_012,000-gazetteer_depth-sickness.md,### Dvergr Clans — Genetic Adaptation & Pressure Tolerance,166,166,,,,
raw,000-gazetteer_depth-sickness.md#chunk_013,000-gazetteer_depth-sickness.md,### Jötun-Readers — Medical Research & Acclimation Protocol Development,172,172,,,,
raw,000-gazetteer_depth-sickness.md#chunk_014,000-gazetteer_depth-sickness.md,## §7: Research Priorities & Open Questions,205,205,,,,
raw,000-gazetteer_depth-sickness.md#chunk_015,000-gazetteer_depth-sickness.md,## §8: Document History,150,150,,,,
raw,000-gazetteer_gleipnir-containment-pens.md#chunk_001,000-gazetteer_gleipnir-containment-pens.md,# 🦴 The Gleipnir Containment Pens (The Mad God's Zoo),124,124,,,,
raw,000-gazetteer_gleipnir-containment-pens.md#chunk_002,000-gazetteer_gleipnir-containment-pens.md,### 1.1 Location and Topography,308,308,,,,
raw,000-gazetteer_gleipnir-containment-pens.md#chunk_003,000-gazetteer_gleipnir-containment-pens.md,### 2.1 Original Purpose and Strategic Context,161,161,,,,
raw,000-gazetteer_gleipnir-containment-pens.md#chunk_004,000-gazetteer_gleipnir-containment-pens.md,### 2.2 Fenrir-Pattern Specifications,182,182,,,,
raw,000-gazetteer_gleipnir-containment-pens.md#chunk_005,000-gazetteer_gleipnir-containment-pens.md,### 3.1 H-Hour Event Sequence,270,270,,,,
raw,000-gazetteer_gleipnir-containment-pens.md#chunk_006,000-gazetteer_gleipnir-containment-pens.md,### 4.1 Resident Threats,244,244,,,,
raw,000-gazetteer_gleipnir-containment-pens.md#chunk_007,000-gazetteer_gleipnir-containment-pens.md,### 5.1 Genetic Archive Recovery,201,201,,,,
raw,000-gazetteer_gleipnir-containment-pens.md#chunk_008,000-gazetteer_gleipnir-containment-pens.md,### 6.1 Grove-Clans: Shameful Legacy and Protective Custody,366,366,,,,
raw,000-gazetteer_gleipnir-containment-pens.md#chunk_009,000-gazetteer_gleipnir-containment-pens.md,## VII. Operational Protocols: Field Card,354,354,,,,
raw,000-gazetteer_gleipnir-containment-pens.md#chunk_010,000-gazetteer_gleipnir-containment-pens.md,## VIII. Document History,149,149,,,,
raw,000-gazetteer_loki-protocol-suppressed-warning.md#chunk_001,000-gazetteer_loki-protocol-suppressed-warning.md,# L.O.K.I. Protocol: The Suppressed Warning (Pre-Glitch Diagnostic System),31,31,,,,
raw,000-gazetteer_loki-protocol-suppressed-warning.md#chunk_002,000-gazetteer_loki-protocol-suppressed-warning.md,## Summary,253,253,,,,
raw,000-gazetteer_loki-protocol-suppressed-warning.md#chunk_003,000-gazetteer_loki-protocol-suppressed-warning.md,### 1.2 Critical Discovery: The Paradox Warning,159,159,,,,
raw,000-gazetteer_loki-protocol-suppressed-warning.md#chunk_004,000-gazetteer_loki-protocol-suppressed-warning.md,### 1.3 The Jörmungandr Counter-Rune Deployment,860,860,,,,
raw,000-gazetteer_project-gungnir.md#chunk_001,000-gazetteer_project-gungnir.md,# Project Gungnir: The All-Rune Development (Pre-Glitch Research Initiative),31,31,,,,
raw,000-gazetteer_project-gungnir.md#chunk_002,000-gazetteer_project-gungnir.md,## Summary,491,491,,,,
raw,000-gazetteer_project-gungnir.md#chunk_003,000-gazetteer_project-gungnir.md,### 2.1 All-Rune Activation (Cycle 001 Year 783 PG),331,331,,,,
raw,000-gazetteer_project-gungnir.md#chunk_004,000-gazetteer_project-gungnir.md,### 3.2 Unresolved Questions,343,343,,,,
raw,000-gazetteer_project-gungnir.md#chunk_005,000-gazetteer_project-gungnir.md,## V. Document History,148,148,,,,
raw,000-resources_argentum-nexus-silver-cord.md#chunk_001,000-resources_argentum-nexus-silver-cord.md,# I. Document Metadata (Header Block),153,153,,,,
raw,000-resources_argentum-nexus-silver-cord.md#chunk_002,000-resources_argentum-nexus-silver-cord.md,## II. Outline of Sections (Layer 3 discipline),197,197,,,,
raw,000-resources_argentum-nexus-silver-cord.md#chunk_003,000-resources_argentum-nexus-silver-cord.md,### 1.1 Purpose,995,995,,,,
raw,000-resources_argentum-nexus-silver-cord.md#chunk_004,000-resources_argentum-nexus-silver-cord.md,### 3.1 Operator State Validation,670,670,,,,
raw,000-resources_argentum-nexus-silver-cord.md#chunk_005,000-resources_argentum-nexus-silver-cord.md,### 4.3 Handshake and Stabilization,130,130,,,,
raw,000-resources_argentum-nexus-silver-cord.md#chunk_006,000-resources_argentum-nexus-silver-cord.md,### 4.4 First‑Sensation Protocol,128,128,,,,
raw,000-resources_argentum-nexus-silver-cord.md#chunk_007,000-resources_argentum-nexus-silver-cord.md,### 5.1 Combat Envelope (Einherjar),495,495,,,,
raw,000-resources_argentum-nexus-silver-cord.md#chunk_008,000-resources_argentum-nexus-silver-cord.md,### 6.1 Draugr's Echo (Cognitive Feedback),180,180,,,,
raw,000-resources_argentum-nexus-silver-cord.md#chunk_009,000-resources_argentum-nexus-silver-cord.md,### 6.2 Frayed Cord (Partial Severance),161,161,,,,
raw,000-resources_argentum-nexus-silver-cord.md#chunk_010,000-resources_argentum-nexus-silver-cord.md,### 6.3 Data‑Wraith Intrusion (External Data‑Ghost),347,347,,,,
raw,000-resources_argentum-nexus-silver-cord.md#chunk_011,000-resources_argentum-nexus-silver-cord.md,### 6.6 Psychic Stress Accumulation (Weight of Knowing),504,504,,,,
raw,000-resources_argentum-nexus-silver-cord.md#chunk_012,000-resources_argentum-nexus-silver-cord.md,### 8.1 Yggdrasil Blackout (Hard Sever),796,796,,,,
raw,000-resources_comprehensive-glossary.md#chunk_001,000-resources_comprehensive-glossary.md,# Document Metadata,58,58,,,,
raw,000-resources_comprehensive-glossary.md#chunk_002,000-resources_comprehensive-glossary.md,## A - Core Terms,938,938,,,,
raw,000-resources_comprehensive-glossary.md#chunk_003,000-resources_comprehensive-glossary.md,## J - Jötun and Journey,438,438,,,,
raw,000-resources_comprehensive-glossary.md#chunk_004,000-resources_comprehensive-glossary.md,## R - Realms and Runes,157,157,,,,
raw,000-resources_comprehensive-glossary.md#chunk_005,000-resources_comprehensive-glossary.md,## S - Seidr and Silence,315,315,,,,
raw,000-resources_dead-light-sanctuary-chain.md#chunk_001,000-resources_dead-light-sanctuary-chain.md,# Document Metadata,153,153,,,,
raw,000-resources_dead-light-sanctuary-chain.md#chunk_002,000-resources_dead-light-sanctuary-chain.md,# 2.0 Evidence Base & Operational History,144,144,,,,
raw,000-resources_dead-light-sanctuary-chain.md#chunk_003,000-resources_dead-light-sanctuary-chain.md,## 3.1 Cell Design Standards,205,205,,,,
raw,000-resources_dead-light-sanctuary-chain.md#chunk_004,000-resources_dead-light-sanctuary-chain.md,## 3.2 Cell Types and Variants,339,339,,,,
raw,000-resources_dead-light-sanctuary-chain.md#chunk_005,000-resources_dead-light-sanctuary-chain.md,## 4.2 Pre-Hop Preparation (Inside Sanctuary Cell),195,195,,,,
raw,000-resources_dead-light-sanctuary-chain.md#chunk_006,000-resources_dead-light-sanctuary-chain.md,## 4.3 Hop Execution (Between Cells),206,206,,,,
raw,000-resources_dead-light-sanctuary-chain.md#chunk_007,000-resources_dead-light-sanctuary-chain.md,## 4.4 Arrival and Post-Hop Recovery (Inside Next Cell),510,510,,,,
raw,000-resources_dead-light-sanctuary-chain.md#chunk_008,000-resources_dead-light-sanctuary-chain.md,# 7.0 Factional Perspectives and Operational Doctrines,301,301,,,,
raw,000-resources_gazetteer-of-asgard.md#chunk_001,000-resources_gazetteer-of-asgard.md,# Document Metadata,231,231,,,,
raw,000-resources_gazetteer-of-asgard.md#chunk_002,000-resources_gazetteer-of-asgard.md,### 1.1.A Structural Envelope (Class A-Δ Orbital Platform),1020,1020,,,,
raw,000-resources_gazetteer-of-asgard.md#chunk_003,000-resources_gazetteer-of-asgard.md,### 1.3.C Argentum‑Nexus (Identity Coherence Mesh),1012,1012,,,,
raw,000-resources_gazetteer-of-asgard.md#chunk_004,000-resources_gazetteer-of-asgard.md,## 5.2 Secondary Data Objectives (Tiered Targets),115,115,,,,
raw,000-resources_grey-towers-scriptorium.md#chunk_001,000-resources_grey-towers-scriptorium.md,# I. Document Metadata,159,159,,,,
raw,000-resources_grey-towers-scriptorium.md#chunk_002,000-resources_grey-towers-scriptorium.md,## 1.0 Executive Abstract,868,868,,,,
raw,000-resources_grey-towers-scriptorium.md#chunk_003,000-resources_grey-towers-scriptorium.md,### 3.3 Interior Program: Sterility Before Speed,984,984,,,,
raw,000-resources_grey-towers-scriptorium.md#chunk_004,000-resources_grey-towers-scriptorium.md,### 5.2 Containment: Sterile Fields and Inert Media,273,273,,,,
raw,000-resources_grey-towers-scriptorium.md#chunk_005,000-resources_grey-towers-scriptorium.md,### 6.1 Scriptorium‑Primus (Grey Tower) — Capital Node,221,221,,,,
raw,000-resources_grey-towers-scriptorium.md#chunk_006,000-resources_grey-towers-scriptorium.md,### 6.2 Scriptorium‑Secundus (Asgardian Corridor) — Logistics and Materials,154,154,,,,
raw,000-resources_grey-towers-scriptorium.md#chunk_007,000-resources_grey-towers-scriptorium.md,### 6.3 Scriptorium‑Tertius (Midgard Combine Belt) — Field Pathology,247,247,,,,
raw,000-resources_grey-towers-scriptorium.md#chunk_008,000-resources_grey-towers-scriptorium.md,### 6.5 Scriptorium‑Quintus (Svartalfheim Veins) — Inert‑Medium Foundry,955,955,,,,
raw,000-resources_grey-towers-scriptorium.md#chunk_009,000-resources_grey-towers-scriptorium.md,### 8.3 Political Friction (Ideological and Diplomatic),228,228,,,,
raw,000-resources_grey-towers-scriptorium.md#chunk_010,000-resources_grey-towers-scriptorium.md,### 10.1 Protocol Checklists,234,234,,,,
raw,000-resources_meta-layer1-style-guide.md#chunk_001,000-resources_meta-layer1-style-guide.md,# I. Document Metadata,1012,1012,,,,
raw,000-resources_meta-layer1-style-guide.md#chunk_002,000-resources_meta-layer1-style-guide.md,### 7.5 Layer Leakage Prevention,341,341,,,,
raw,000-resources_scriptorium-record-manual.md#chunk_001,000-resources_scriptorium-record-manual.md,"# The Scriptorium Record Manual: Retention, Authoring, and Custody",119,119,,,,
raw,000-resources_scriptorium-record-manual.md#chunk_002,000-resources_scriptorium-record-manual.md,## 1.0 Scope and Definitions,859,859,,,,
raw,000-resources_scriptorium-record-manual.md#chunk_003,000-resources_scriptorium-record-manual.md,### 3.1 Field Creation: Start the Chain Aloud,972,972,,,,
raw,000-resources_scriptorium-record-manual.md#chunk_004,000-resources_scriptorium-record-manual.md,"### 5.1 Hollow Scholars — Patients, Not Projects",1017,1017,,,,
raw,000-resources_scriptorium-record-manual.md#chunk_005,000-resources_scriptorium-record-manual.md,## 8.0 The Eighth Canon — Governance and Accountability,729,729,,,,
raw,000-resources_tri-council.md#chunk_001,000-resources_tri-council.md,# Document Metadata,269,269,,,,
raw,000-resources_tri-council.md#chunk_002,000-resources_tri-council.md,## 1.0 Purpose and Mandate,146,146,,,,
raw,000-resources_tri-council.md#chunk_003,000-resources_tri-council.md,## 2.0 Legal Powers and Instruments,165,165,,,,
raw,000-resources_tri-council.md#chunk_004,000-resources_tri-council.md,## 3.0 Composition and Roles (Bloc Functions),222,222,,,,
