chunk_id,doc_filename,section_heading,tokens_raw,tokens_enriched,Corpus,Domain,Entity,Authority,Relationships,Section
000-codex_lure-lichen.md#chunk_009,000-codex_lure-lichen.md,4.2 Regional Distribution,148,230,6,19,10,10,22,13.0
000-codex_lure-lichen.md#chunk_010,000-codex_lure-lichen.md,5.1 The Unwitting Lure: Commensal Exploitation Dynamics,192,279,6,19,10,10,22,18.0
000-codex_lure-lichen.md#chunk_011,000-codex_lure-lichen.md,6.1 Threat Assessment by Context,149,234,6,19,10,10,22,15.0
000-codex_lure-lichen.md#chunk_012,000-codex_lure-lichen.md,6.2 Field Card — Lure-Lichen Encounter Protocols,618,705,6,19,10,10,22,18.0
000-codex_lure-lichen.md#chunk_013,000-codex_lure-lichen.md,7.1 Dvergr Perspective (Pragmatic Annoyance),68,153,6,19,10,10,22,15.0
000-codex_lure-lichen.md#chunk_014,000-codex_lure-lichen.md,7.2 Silent Folk Perspective (Adaptive Symbiosis),79,165,6,19,10,10,22,16.0
000-codex_lure-lichen.md#chunk_015,000-codex_lure-lichen.md,7.3 Midgard Combine Perspective (Supernatural Fear),104,189,6,19,10,10,22,16.0
000-codex_mycelian-weaver.md#chunk_001,000-codex_mycelian-weaver.md,(none),146,214,6,19,11,10,19,
000-codex_mycelian-weaver.md#chunk_002,000-codex_mycelian-weaver.md,1.1 Entity Overview,59,140,6,19,11,10,19,13.0
000-codex_mycelian-weaver.md#chunk_003,000-codex_mycelian-weaver.md,1.2 Immediate Threat Classification,78,159,6,19,11,10,19,14.0
000-codex_mycelian-weaver.md#chunk_004,000-codex_mycelian-weaver.md,1.3 Distribution and Scale,68,150,6,19,11,10,19,14.0
000-codex_mycelian-weaver.md#chunk_005,000-codex_mycelian-weaver.md,2.1 Pre-Glitch Designation and Purpose,37,120,6,19,11,10,19,15.0
000-codex_mycelian-weaver.md#chunk_006,000-codex_mycelian-weaver.md,2.2 Original Design Philosophy,148,230,6,19,11,10,19,14.0
000-codex_mycelian-weaver.md#chunk_007,000-codex_mycelian-weaver.md,3.1 The Glitch's Catastrophic Re-Contextualization,55,139,6,19,11,10,19,15.0
000-codex_mycelian-weaver.md#chunk_008,000-codex_mycelian-weaver.md,3.2 Supercharged Directive,70,150,6,19,11,10,19,13.0
000-codex_mycelian-weaver.md#chunk_009,000-codex_mycelian-weaver.md,3.3 The Great Hunger: An Eternal Feast,72,158,6,19,11,10,19,18.0
000-codex_mycelian-weaver.md#chunk_010,000-codex_mycelian-weaver.md,3.4 The Root-Mind: Singular Consciousness,146,230,6,19,11,10,19,15.0
000-codex_mycelian-weaver.md#chunk_011,000-codex_mycelian-weaver.md,4.1 Physical Morphology,165,245,6,19,11,10,19,13.0
000-codex_mycelian-weaver.md#chunk_012,000-codex_mycelian-weaver.md,4.2 Psionic Capabilities and Hazards,184,267,6,19,11,10,19,15.0
000-codex_mycelian-weaver.md#chunk_013,000-codex_mycelian-weaver.md,4.3 Mutagenic Spore Effects,96,178,6,19,11,10,19,14.0
000-codex_mycelian-weaver.md#chunk_014,000-codex_mycelian-weaver.md,5.1 The Mycelian Maw: Midgard's Transformation,75,159,6,19,11,10,19,16.0
000-codex_mycelian-weaver.md#chunk_015,000-codex_mycelian-weaver.md,5.2 Mutagenic Hotspots and Localized Blight Amplification,52,137,6,19,11,10,19,18.0
000-codex_mycelian-weaver.md#chunk_016,000-codex_mycelian-weaver.md,5.3 Historical Erasure,53,133,6,19,11,10,19,13.0
000-codex_mycelian-weaver.md#chunk_017,000-codex_mycelian-weaver.md,5.4 Agricultural Devastation: The Farmer's Bane,57,141,6,19,11,10,19,16.0
000-codex_mycelian-weaver.md#chunk_018,000-codex_mycelian-weaver.md,6.1 Grove-Clans (Vanaheim): The Unchecked Garden,100,184,6,19,11,10,19,16.0
000-codex_mycelian-weaver.md#chunk_019,000-codex_mycelian-weaver.md,6.2 Midgard Combine: The Green Scourge,93,178,6,19,11,10,19,16.0
000-codex_mycelian-weaver.md#chunk_020,000-codex_mycelian-weaver.md,6.3 Jötun-Reader Perspective,104,184,6,19,11,10,19,13.0
000-codex_mycelian-weaver.md#chunk_021,000-codex_mycelian-weaver.md,6.4 Iron-Banes: The World's True Inheritor,63,148,6,19,11,10,19,16.0
000-codex_mycelian-weaver.md#chunk_022,000-codex_mycelian-weaver.md,7.1 Jötun-Reader Research and Containment,100,183,6,19,11,10,19,15.0
000-codex_mycelian-weaver.md#chunk_023,000-codex_mycelian-weaver.md,7.2 Alchemical Solutions,40,120,6,19,11,10,19,13.0
000-codex_mycelian-weaver.md#chunk_024,000-codex_mycelian-weaver.md,7.3 Operational Doctrines,135,215,6,19,11,10,19,13.0
000-codex_mycelian-weaver.md#chunk_025,000-codex_mycelian-weaver.md,8.1 The Weaver as Compiler Error Incarnate,70,156,6,19,11,10,19,18.0
000-codex_mycelian-weaver.md#chunk_026,000-codex_mycelian-weaver.md,8.2 Consciousness and Distributed Intelligence,74,157,6,19,11,10,19,15.0
000-codex_mycelian-weaver.md#chunk_027,000-codex_mycelian-weaver.md,8.3 The Slow Future: Entropy's Patient Victory,153,239,6,19,11,10,19,18.0
000-codex_odin-protocol.md#chunk_001,000-codex_odin-protocol.md,(none),48,115,6,19,15,10,15,
000-codex_odin-protocol.md#chunk_002,000-codex_odin-protocol.md,Abstract,201,279,6,19,15,10,15,10.0
000-codex_odin-protocol.md#chunk_003,000-codex_odin-protocol.md,1.1 Pan-Systemic Oversight & Data Synthesis,202,287,6,19,15,10,15,16.0
000-codex_odin-protocol.md#chunk_004,000-codex_odin-protocol.md,1.2 Multi-Variable Predictive Modeling,161,243,6,19,15,10,15,14.0
000-codex_odin-protocol.md#chunk_005,000-codex_odin-protocol.md,1.3 Administrator-Level FUTHARK Execution,261,343,6,19,15,10,15,14.0
000-codex_odin-protocol.md#chunk_006,000-codex_odin-protocol.md,1.4 Physical Housing: The Hlidskjalf Node,198,283,6,19,15,10,15,16.0
000-codex_odin-protocol.md#chunk_007,000-codex_odin-protocol.md,2.1 The Odin Cascade Event (H-Hour Timeline),374,460,6,19,15,10,15,18.0
000-codex_odin-protocol.md#chunk_008,000-codex_odin-protocol.md,2.2 Post-Glitch Manifestation: The Genius Loci,431,516,6,19,15,10,15,16.0
000-codex_odin-protocol.md#chunk_009,000-codex_odin-protocol.md,3.1 The Last Witness,256,338,6,19,15,10,15,14.0
000-codex_odin-protocol.md#chunk_010,000-codex_odin-protocol.md,3.2 Philosophical Implications,139,219,6,19,15,10,15,13.0
000-codex_odin-protocol.md#chunk_011,000-codex_odin-protocol.md,IV. Change Log,163,244,6,19,15,10,15,13.0
000-codex_scavenger-barons.md#chunk_001,000-codex_scavenger-barons.md,(none),32,101,6,16,11,10,23,
000-codex_scavenger-barons.md#chunk_002,000-codex_scavenger-barons.md,Header block,24,105,6,16,11,10,23,11.0
000-codex_scavenger-barons.md#chunk_003,000-codex_scavenger-barons.md,1. Identification,91,171,6,16,11,10,23,11.0
000-codex_scavenger-barons.md#chunk_004,000-codex_scavenger-barons.md,2. Origins and structure,261,344,6,16,11,10,23,14.0
000-codex_scavenger-barons.md#chunk_005,000-codex_scavenger-barons.md,3. Governance and doctrine,279,362,6,16,11,10,23,14.0
000-codex_scavenger-barons.md#chunk_006,000-codex_scavenger-barons.md,4. Economic model,222,304,6,16,11,10,23,13.0
000-codex_scavenger-barons.md#chunk_007,000-codex_scavenger-barons.md,5. Territory and influence,131,214,6,16,11,10,23,14.0
000-codex_scavenger-barons.md#chunk_008,000-codex_scavenger-barons.md,6. Relations with other factions,271,356,6,16,11,10,23,15.0
000-codex_scavenger-barons.md#chunk_009,000-codex_scavenger-barons.md,7. Doctrine and philosophy,178,261,6,16,11,10,23,14.0
000-codex_scavenger-barons.md#chunk_010,000-codex_scavenger-barons.md,8. Operational protocols,196,278,6,16,11,10,23,13.0
000-codex_scavenger-barons.md#chunk_011,000-codex_scavenger-barons.md,9. Change log,135,217,6,16,11,10,23,13.0
000-codex_spell-lock.md#chunk_001,000-codex_spell-lock.md,(none),42,107,6,18,13,10,16,
000-codex_spell-lock.md#chunk_002,000-codex_spell-lock.md,1. Identification and context,185,265,6,18,13,10,16,14.0
000-codex_spell-lock.md#chunk_003,000-codex_spell-lock.md,2. Mechanism of action (Layer 3 technical),334,417,6,18,13,10,16,18.0
000-codex_spell-lock.md#chunk_004,000-codex_spell-lock.md,3. Material components,239,317,6,18,13,10,16,13.0
000-codex_spell-lock.md#chunk_005,000-codex_spell-lock.md,4. Bypass and defeat methods,218,299,6,18,13,10,16,15.0
000-codex_spell-lock.md#chunk_006,000-codex_spell-lock.md,5. Use by Scavenger Barons,244,325,6,18,13,10,16,15.0
000-codex_spell-lock.md#chunk_007,000-codex_spell-lock.md,6. Doctrine and operational posture,171,252,6,18,13,10,16,15.0
000-codex_spell-lock.md#chunk_008,000-codex_spell-lock.md,7. Evidence and cross-references,119,198,6,18,13,10,16,14.0
000-codex_spell-lock.md#chunk_009,000-codex_spell-lock.md,8. Reviewer's Note,92,170,6,18,13,10,16,13.0
000-codex_spell-lock.md#chunk_010,000-codex_spell-lock.md,9. Change Log,83,161,6,18,13,10,16,13.0
000-cultural_gutter-tangle.md#chunk_001,000-cultural_gutter-tangle.md,(none),33,107,6,20,18,9,19,
000-cultural_gutter-tangle.md#chunk_002,000-cultural_gutter-tangle.md,1. Introduction: The City in the Corpse,284,377,6,20,18,9,19,18.0
000-cultural_gutter-tangle.md#chunk_003,000-cultural_gutter-tangle.md,2. Urban Tool Systems: Survival in the Gutter-Tangle,75,169,6,20,18,9,19,19.0
000-cultural_gutter-tangle.md#chunk_004,000-cultural_gutter-tangle.md,The Concealed Carry Imperative,426,514,6,20,18,9,19,14.0
000-cultural_gutter-tangle.md#chunk_005,000-cultural_gutter-tangle.md,Utgard-Specific Specialized Tools,193,280,6,20,18,9,19,13.0
000-cultural_gutter-tangle.md#chunk_006,000-cultural_gutter-tangle.md,3. The Black Market Economy: Trading in Shadows,94,188,6,20,18,9,19,19.0
000-cultural_gutter-tangle.md#chunk_007,000-cultural_gutter-tangle.md,Legitimate Salvage Trade: The Gut Market,158,249,6,20,18,9,19,16.0
000-cultural_gutter-tangle.md#chunk_008,000-cultural_gutter-tangle.md,Grey Market Services: Deniable but Tolerated,183,274,6,20,18,9,19,16.0
000-cultural_gutter-tangle.md#chunk_009,000-cultural_gutter-tangle.md,Black Market Contraband: The Real Economy,299,390,6,20,18,9,19,16.0
000-cultural_gutter-tangle.md#chunk_010,000-cultural_gutter-tangle.md,4. Utgard-Specific Institutions: The Social Infrastructure,61,152,6,20,18,9,19,16.0
000-cultural_gutter-tangle.md#chunk_011,000-cultural_gutter-tangle.md,Gutter-Skalds: The Living Archives,214,302,6,20,18,9,19,14.0
000-cultural_gutter-tangle.md#chunk_012,000-cultural_gutter-tangle.md,Grey Blades: The Unelected Arbitrators,260,349,6,20,18,9,19,15.0
000-cultural_gutter-tangle.md#chunk_013,000-cultural_gutter-tangle.md,Gutter-Galdr Practitioners: The Scrap-Rune Dabblers,239,328,6,20,18,9,19,15.0
000-cultural_gutter-tangle.md#chunk_014,000-cultural_gutter-tangle.md,Ghost's Share Ritual: Utgard Variation,172,262,6,20,18,9,19,15.0
000-cultural_gutter-tangle.md#chunk_015,000-cultural_gutter-tangle.md,5. The Layers of Utgard: Vertical Geography of the Corpse-City,53,149,6,20,18,9,19,22.0
000-cultural_gutter-tangle.md#chunk_016,000-cultural_gutter-tangle.md,The Gut: Upper Market Districts,152,241,6,20,18,9,19,15.0
000-cultural_gutter-tangle.md#chunk_017,000-cultural_gutter-tangle.md,The Rib-Cages: Residential Warrens,98,187,6,20,18,9,19,14.0
000-cultural_gutter-tangle.md#chunk_018,000-cultural_gutter-tangle.md,The Scrap Docks: Salvage Processing Zone,88,179,6,20,18,9,19,16.0
000-cultural_gutter-tangle.md#chunk_019,000-cultural_gutter-tangle.md,The Deep Chassis: Forbidden Salvage Zones,159,250,6,20,18,9,19,16.0
000-cultural_rangers-trail-reckoning.md#chunk_001,000-cultural_rangers-trail-reckoning.md,(none),49,126,6,19,15,10,24,
000-cultural_rangers-trail-reckoning.md#chunk_002,000-cultural_rangers-trail-reckoning.md,1) Introduction and scope,221,312,6,19,15,10,24,14.0
000-cultural_rangers-trail-reckoning.md#chunk_003,000-cultural_rangers-trail-reckoning.md,Why geographic encoding matters,330,421,6,19,15,10,24,14.0
000-cultural_rangers-trail-reckoning.md#chunk_004,000-cultural_rangers-trail-reckoning.md,Operational vs legal coordination distinction,169,261,6,19,15,10,24,15.0
000-cultural_rangers-trail-reckoning.md#chunk_005,000-cultural_rangers-trail-reckoning.md,The four-component format,258,348,6,19,15,10,24,13.0
000-cultural_rangers-trail-reckoning.md#chunk_006,000-cultural_rangers-trail-reckoning.md,Notation examples with geographic interpretation,204,296,6,19,15,10,24,15.0
000-cultural_rangers-trail-reckoning.md#chunk_007,000-cultural_rangers-trail-reckoning.md,Precision thresholds and operational tolerances,361,453,6,19,15,10,24,15.0
000-cultural_rangers-trail-reckoning.md#chunk_008,000-cultural_rangers-trail-reckoning.md,Route-waystation pairing conventions,215,305,6,19,15,10,24,13.0
000-cultural_rangers-trail-reckoning.md#chunk_009,000-cultural_rangers-trail-reckoning.md,Abbreviated and emergency notation,146,237,6,19,15,10,24,14.0
000-cultural_rangers-trail-reckoning.md#chunk_010,000-cultural_rangers-trail-reckoning.md,Comparison with Dvergr notation,198,289,6,19,15,10,24,14.0
000-cultural_rangers-trail-reckoning.md#chunk_011,000-cultural_rangers-trail-reckoning.md,Route designation system — geographic encoding logic,343,438,6,19,15,10,24,18.0
000-cultural_rangers-trail-reckoning.md#chunk_012,000-cultural_rangers-trail-reckoning.md,Route code examples,63,153,6,19,15,10,24,13.0
000-cultural_rangers-trail-reckoning.md#chunk_013,000-cultural_rangers-trail-reckoning.md,Historical evolution,79,167,6,19,15,10,24,11.0
000-cultural_rangers-trail-reckoning.md#chunk_014,000-cultural_rangers-trail-reckoning.md,Waystation network — infrastructure and positioning,566,660,6,19,15,10,24,16.0
000-cultural_rangers-trail-reckoning.md#chunk_015,000-cultural_rangers-trail-reckoning.md,Waystation naming conventions,236,326,6,19,15,10,24,13.0
000-cultural_rangers-trail-reckoning.md#chunk_016,000-cultural_rangers-trail-reckoning.md,Name disambiguation,65,153,6,19,15,10,24,11.0
000-cultural_rangers-trail-reckoning.md#chunk_017,000-cultural_rangers-trail-reckoning.md,Caravan tracking and position reporting,508,600,6,19,15,10,24,15.0
000-cultural_rangers-trail-reckoning.md#chunk_018,000-cultural_rangers-trail-reckoning.md,Resupply coordination and cache management,392,484,6,19,15,10,24,15.0
000-cultural_rangers-trail-reckoning.md#chunk_019,000-cultural_rangers-trail-reckoning.md,The 601-year continuous dataset,328,419,6,19,15,10,24,14.0
000-cultural_rangers-trail-reckoning.md#chunk_020,000-cultural_rangers-trail-reckoning.md,Travel time evolution and climate proxies,377,470,6,19,15,10,24,16.0
000-cultural_skaldic-year-naming.md#chunk_001,000-cultural_skaldic-year-naming.md,(none),48,126,6,20,14,10,26,
000-cultural_skaldic-year-naming.md#chunk_002,000-cultural_skaldic-year-naming.md,1) Introduction and scope,165,257,6,20,14,10,26,14.0
000-cultural_skaldic-year-naming.md#chunk_003,000-cultural_skaldic-year-naming.md,Why commemorative naming matters,249,341,6,20,14,10,26,14.0
000-cultural_skaldic-year-naming.md#chunk_004,000-cultural_skaldic-year-naming.md,Operational vs cultural coordination distinction,75,169,6,20,14,10,26,15.0
000-cultural_skaldic-year-naming.md#chunk_005,000-cultural_skaldic-year-naming.md,Annual Moot convening — timing and logistics,305,401,6,20,14,10,26,18.0
000-cultural_skaldic-year-naming.md#chunk_006,000-cultural_skaldic-year-naming.md,Proposal submission process,128,219,6,20,14,10,26,13.0
000-cultural_skaldic-year-naming.md#chunk_007,000-cultural_skaldic-year-naming.md,Deliberation criteria and debate structure,178,271,6,20,14,10,26,15.0
000-cultural_skaldic-year-naming.md#chunk_008,000-cultural_skaldic-year-naming.md,Voting protocols and ratification,265,357,6,20,14,10,26,14.0
000-cultural_skaldic-year-naming.md#chunk_009,000-cultural_skaldic-year-naming.md,Representative year-names across five Ages,754,847,6,20,14,10,26,15.0
000-cultural_skaldic-year-naming.md#chunk_010,000-cultural_skaldic-year-naming.md,Council composition and authority structure,145,239,6,20,14,10,26,15.0
000-cultural_skaldic-year-naming.md#chunk_011,000-cultural_skaldic-year-naming.md,Year-name registry and concordance maintenance,179,273,6,20,14,10,26,15.0
000-cultural_skaldic-year-naming.md#chunk_012,000-cultural_skaldic-year-naming.md,Population familiarity rates across demographics,257,351,6,20,14,10,26,15.0
000-cultural_skaldic-year-naming.md#chunk_013,000-cultural_skaldic-year-naming.md,Oral versus written context usage patterns,152,247,6,20,14,10,26,16.0
000-cultural_skaldic-year-naming.md#chunk_014,000-cultural_skaldic-year-naming.md,Dual-notation contract conventions,162,253,6,20,14,10,26,13.0
000-cultural_skaldic-year-naming.md#chunk_015,000-cultural_skaldic-year-naming.md,Related calendar systems,42,133,6,20,14,10,26,13.0
000-cultural_skaldic-year-naming.md#chunk_016,000-cultural_skaldic-year-naming.md,Historical context and cultural evolution,171,265,6,20,14,10,26,15.0
000-cultural_skaldic-year-naming.md#chunk_017,000-cultural_skaldic-year-naming.md,Document history,156,245,6,20,14,10,26,11.0
000-gazetteer_depth-sickness.md#chunk_001,000-gazetteer_depth-sickness.md,(none),37,110,6,18,18,10,19,
000-gazetteer_depth-sickness.md#chunk_002,000-gazetteer_depth-sickness.md,§1: Phenomenon Overview & Classification,258,347,6,18,18,10,19,15.0
000-gazetteer_depth-sickness.md#chunk_003,000-gazetteer_depth-sickness.md,Atmospheric Pressure Effects,189,275,6,18,18,10,19,13.0
000-gazetteer_depth-sickness.md#chunk_004,000-gazetteer_depth-sickness.md,Sensory Deprivation & Circadian Disruption,152,240,6,18,18,10,19,15.0
000-gazetteer_depth-sickness.md#chunk_005,000-gazetteer_depth-sickness.md,"Stage 1: Mild Onset (1500-1700m, Days 1-5)",133,224,6,18,18,10,19,18.0
000-gazetteer_depth-sickness.md#chunk_006,000-gazetteer_depth-sickness.md,"Stage 2: Moderate Progression (1700-2000m, Days 6-14)",174,265,6,18,18,10,19,18.0
000-gazetteer_depth-sickness.md#chunk_007,000-gazetteer_depth-sickness.md,Stage 3: Severe Crisis (>2000m or prolonged exposure at 1700-2000m),202,297,6,18,18,10,19,22.0
000-gazetteer_depth-sickness.md#chunk_008,000-gazetteer_depth-sickness.md,§4: Field Protocols & Management Strategies,9,98,6,18,18,10,19,16.0
000-gazetteer_depth-sickness.md#chunk_009,000-gazetteer_depth-sickness.md,BEFORE — Pre-Expedition Screening & Preparation,159,249,6,18,18,10,19,16.0
000-gazetteer_depth-sickness.md#chunk_010,000-gazetteer_depth-sickness.md,DURING — Active Symptom Monitoring & Escalation Response,223,315,6,18,18,10,19,19.0
000-gazetteer_depth-sickness.md#chunk_011,000-gazetteer_depth-sickness.md,AFTER — Post-Expedition Decompression & Recovery,144,234,6,18,18,10,19,16.0
000-gazetteer_depth-sickness.md#chunk_012,000-gazetteer_depth-sickness.md,Svartalfheim Black Veins (Primary Documentation Source),146,236,6,18,18,10,19,16.0
000-gazetteer_depth-sickness.md#chunk_013,000-gazetteer_depth-sickness.md,Dvergr Clans — Genetic Adaptation & Pressure Tolerance,166,258,6,18,18,10,19,19.0
000-gazetteer_depth-sickness.md#chunk_014,000-gazetteer_depth-sickness.md,Jötun-Readers — Medical Research & Acclimation Protocol Development,172,265,6,18,18,10,19,19.0
000-gazetteer_depth-sickness.md#chunk_015,000-gazetteer_depth-sickness.md,§7: Research Priorities & Open Questions,205,295,6,18,18,10,19,16.0
000-gazetteer_depth-sickness.md#chunk_016,000-gazetteer_depth-sickness.md,§8: Document History,150,236,6,18,18,10,19,13.0
000-gazetteer_gleipnir-containment-pens.md#chunk_001,000-gazetteer_gleipnir-containment-pens.md,(none),137,206,6,16,16,10,18,
000-gazetteer_gleipnir-containment-pens.md#chunk_002,000-gazetteer_gleipnir-containment-pens.md,1.1 Location and Topography,128,211,6,16,16,10,18,14.0
000-gazetteer_gleipnir-containment-pens.md#chunk_003,000-gazetteer_gleipnir-containment-pens.md,1.2 Environmental Conditions,91,172,6,16,16,10,18,13.0
000-gazetteer_gleipnir-containment-pens.md#chunk_004,000-gazetteer_gleipnir-containment-pens.md,1.3 Structural Integrity Assessment,88,171,6,16,16,10,18,14.0
000-gazetteer_gleipnir-containment-pens.md#chunk_005,000-gazetteer_gleipnir-containment-pens.md,2.1 Original Purpose and Strategic Context,161,247,6,16,16,10,18,16.0
000-gazetteer_gleipnir-containment-pens.md#chunk_006,000-gazetteer_gleipnir-containment-pens.md,2.2 Fenrir-Pattern Specifications,182,263,6,16,16,10,18,13.0
000-gazetteer_gleipnir-containment-pens.md#chunk_007,000-gazetteer_gleipnir-containment-pens.md,3.1 H-Hour Event Sequence,270,353,6,16,16,10,18,14.0
000-gazetteer_gleipnir-containment-pens.md#chunk_008,000-gazetteer_gleipnir-containment-pens.md,4.1 Resident Threats,244,326,6,16,16,10,18,13.0
000-gazetteer_gleipnir-containment-pens.md#chunk_009,000-gazetteer_gleipnir-containment-pens.md,5.1 Genetic Archive Recovery,158,241,6,16,16,10,18,14.0
000-gazetteer_gleipnir-containment-pens.md#chunk_010,000-gazetteer_gleipnir-containment-pens.md,5.2 Ethical Research Constraints,42,126,6,16,16,10,18,14.0
000-gazetteer_gleipnir-containment-pens.md#chunk_011,000-gazetteer_gleipnir-containment-pens.md,6.1 Grove-Clans: Shameful Legacy and Protective Custody,152,239,6,16,16,10,18,18.0
000-gazetteer_gleipnir-containment-pens.md#chunk_012,000-gazetteer_gleipnir-containment-pens.md,6.2 Jötun-Readers: Archive Recovery Priority,114,198,6,16,16,10,18,15.0
000-gazetteer_gleipnir-containment-pens.md#chunk_013,000-gazetteer_gleipnir-containment-pens.md,6.3 Iron-Banes: Extermination Imperative,100,183,6,16,16,10,18,14.0
