chunk_id,doc_filename,section_heading,tokens_raw,tokens_enriched,Corpus,Domain,Entity,Authority,Section
000-codex_odin-protocol.md#chunk_003,000-codex_odin-protocol.md,1.1 Pan-Systemic Oversight & Data Synthesis,202,271,6,19,15,10,16.0
000-codex_odin-protocol.md#chunk_004,000-codex_odin-protocol.md,1.2 Multi-Variable Predictive Modeling,161,227,6,19,15,10,14.0
000-codex_odin-protocol.md#chunk_005,000-codex_odin-protocol.md,1.3 Administrator-Level FUTHARK Execution,261,327,6,19,15,10,14.0
000-codex_odin-protocol.md#chunk_006,000-codex_odin-protocol.md,1.4 Physical Housing: The Hlidskjalf Node,198,267,6,19,15,10,16.0
000-codex_odin-protocol.md#chunk_007,000-codex_odin-protocol.md,2.1 The Odin Cascade Event (H-Hour Timeline),374,444,6,19,15,10,18.0
000-codex_odin-protocol.md#chunk_008,000-codex_odin-protocol.md,2.2 Post-Glitch Manifestation: The Genius Loci,431,500,6,19,15,10,16.0
000-codex_odin-protocol.md#chunk_009,000-codex_odin-protocol.md,3.1 The Last Witness,256,322,6,19,15,10,14.0
000-codex_odin-protocol.md#chunk_010,000-codex_odin-protocol.md,3.2 Philosophical Implications,139,204,6,19,15,10,13.0
000-codex_odin-protocol.md#chunk_011,000-codex_odin-protocol.md,IV. Change Log,163,228,6,19,15,10,13.0
000-codex_scavenger-barons.md#chunk_001,000-codex_scavenger-barons.md,(none),32,78,6,16,11,10,
000-codex_scavenger-barons.md#chunk_002,000-codex_scavenger-barons.md,Header block,24,81,6,16,11,10,11.0
000-codex_scavenger-barons.md#chunk_003,000-codex_scavenger-barons.md,1. Identification,91,148,6,16,11,10,11.0
000-codex_scavenger-barons.md#chunk_004,000-codex_scavenger-barons.md,2. Origins and structure,261,321,6,16,11,10,14.0
000-codex_scavenger-barons.md#chunk_005,000-codex_scavenger-barons.md,3. Governance and doctrine,279,339,6,16,11,10,14.0
000-codex_scavenger-barons.md#chunk_006,000-codex_scavenger-barons.md,4. Economic model,222,280,6,16,11,10,13.0
000-codex_scavenger-barons.md#chunk_007,000-codex_scavenger-barons.md,5. Territory and influence,131,191,6,16,11,10,14.0
000-codex_scavenger-barons.md#chunk_008,000-codex_scavenger-barons.md,6. Relations with other factions,271,332,6,16,11,10,15.0
000-codex_scavenger-barons.md#chunk_009,000-codex_scavenger-barons.md,7. Doctrine and philosophy,178,237,6,16,11,10,14.0
000-codex_scavenger-barons.md#chunk_010,000-codex_scavenger-barons.md,8. Operational protocols,196,254,6,16,11,10,13.0
000-codex_scavenger-barons.md#chunk_011,000-codex_scavenger-barons.md,9. Change log,135,193,6,16,11,10,13.0
000-codex_spell-lock.md#chunk_001,000-codex_spell-lock.md,(none),42,91,6,18,13,10,
000-codex_spell-lock.md#chunk_002,000-codex_spell-lock.md,1. Identification and context,185,248,6,18,13,10,14.0
000-codex_spell-lock.md#chunk_003,000-codex_spell-lock.md,2. Mechanism of action (Layer 3 technical),334,400,6,18,13,10,18.0
000-codex_spell-lock.md#chunk_004,000-codex_spell-lock.md,3. Material components,239,300,6,18,13,10,13.0
000-codex_spell-lock.md#chunk_005,000-codex_spell-lock.md,4. Bypass and defeat methods,218,282,6,18,13,10,15.0
000-codex_spell-lock.md#chunk_006,000-codex_spell-lock.md,5. Use by Scavenger Barons,244,308,6,18,13,10,15.0
000-codex_spell-lock.md#chunk_007,000-codex_spell-lock.md,6. Doctrine and operational posture,171,235,6,18,13,10,15.0
000-codex_spell-lock.md#chunk_008,000-codex_spell-lock.md,7. Evidence and cross-references,119,182,6,18,13,10,14.0
000-codex_spell-lock.md#chunk_009,000-codex_spell-lock.md,8. Reviewer's Note,92,153,6,18,13,10,13.0
000-codex_spell-lock.md#chunk_010,000-codex_spell-lock.md,9. Change Log,83,144,6,18,13,10,13.0
000-cultural_gutter-tangle.md#chunk_001,000-cultural_gutter-tangle.md,(none),33,88,6,20,18,9,
000-cultural_gutter-tangle.md#chunk_002,000-cultural_gutter-tangle.md,1. Introduction: The City in the Corpse,284,357,6,20,18,9,18.0
000-cultural_gutter-tangle.md#chunk_003,000-cultural_gutter-tangle.md,2. Urban Tool Systems: Survival in the Gutter-Tangle,75,149,6,20,18,9,19.0
000-cultural_gutter-tangle.md#chunk_004,000-cultural_gutter-tangle.md,The Concealed Carry Imperative,426,495,6,20,18,9,14.0
000-cultural_gutter-tangle.md#chunk_005,000-cultural_gutter-tangle.md,Utgard-Specific Specialized Tools,193,261,6,20,18,9,13.0
000-cultural_gutter-tangle.md#chunk_006,000-cultural_gutter-tangle.md,3. The Black Market Economy: Trading in Shadows,94,169,6,20,18,9,19.0
000-cultural_gutter-tangle.md#chunk_007,000-cultural_gutter-tangle.md,Legitimate Salvage Trade: The Gut Market,158,230,6,20,18,9,16.0
000-cultural_gutter-tangle.md#chunk_008,000-cultural_gutter-tangle.md,Grey Market Services: Deniable but Tolerated,183,254,6,20,18,9,16.0
000-cultural_gutter-tangle.md#chunk_009,000-cultural_gutter-tangle.md,Black Market Contraband: The Real Economy,299,370,6,20,18,9,16.0
000-cultural_gutter-tangle.md#chunk_010,000-cultural_gutter-tangle.md,4. Utgard-Specific Institutions: The Social Infrastructure,61,132,6,20,18,9,16.0
000-cultural_gutter-tangle.md#chunk_011,000-cultural_gutter-tangle.md,Gutter-Skalds: The Living Archives,214,283,6,20,18,9,14.0
000-cultural_gutter-tangle.md#chunk_012,000-cultural_gutter-tangle.md,Grey Blades: The Unelected Arbitrators,260,330,6,20,18,9,15.0
000-cultural_gutter-tangle.md#chunk_013,000-cultural_gutter-tangle.md,Gutter-Galdr Practitioners: The Scrap-Rune Dabblers,239,309,6,20,18,9,15.0
000-cultural_gutter-tangle.md#chunk_014,000-cultural_gutter-tangle.md,Ghost's Share Ritual: Utgard Variation,172,243,6,20,18,9,15.0
000-cultural_gutter-tangle.md#chunk_015,000-cultural_gutter-tangle.md,5. The Layers of Utgard: Vertical Geography of the Corpse-City,53,130,6,20,18,9,22.0
000-cultural_gutter-tangle.md#chunk_016,000-cultural_gutter-tangle.md,The Gut: Upper Market Districts,152,222,6,20,18,9,15.0
000-cultural_gutter-tangle.md#chunk_017,000-cultural_gutter-tangle.md,The Rib-Cages: Residential Warrens,98,167,6,20,18,9,14.0
000-cultural_gutter-tangle.md#chunk_018,000-cultural_gutter-tangle.md,The Scrap Docks: Salvage Processing Zone,88,159,6,20,18,9,16.0
000-cultural_gutter-tangle.md#chunk_019,000-cultural_gutter-tangle.md,The Deep Chassis: Forbidden Salvage Zones,159,231,6,20,18,9,16.0
000-cultural_rangers-trail-reckoning.md#chunk_001,000-cultural_rangers-trail-reckoning.md,(none),49,101,6,19,15,10,
000-cultural_rangers-trail-reckoning.md#chunk_002,000-cultural_rangers-trail-reckoning.md,1) Introduction and scope,221,287,6,19,15,10,14.0
000-cultural_rangers-trail-reckoning.md#chunk_003,000-cultural_rangers-trail-reckoning.md,Why geographic encoding matters,330,396,6,19,15,10,14.0
000-cultural_rangers-trail-reckoning.md#chunk_004,000-cultural_rangers-trail-reckoning.md,Operational vs legal coordination distinction,169,236,6,19,15,10,15.0
000-cultural_rangers-trail-reckoning.md#chunk_005,000-cultural_rangers-trail-reckoning.md,The four-component format,258,323,6,19,15,10,13.0
000-cultural_rangers-trail-reckoning.md#chunk_006,000-cultural_rangers-trail-reckoning.md,Notation examples with geographic interpretation,204,271,6,19,15,10,15.0
000-cultural_rangers-trail-reckoning.md#chunk_007,000-cultural_rangers-trail-reckoning.md,Precision thresholds and operational tolerances,361,429,6,19,15,10,15.0
000-cultural_rangers-trail-reckoning.md#chunk_008,000-cultural_rangers-trail-reckoning.md,Route-waystation pairing conventions,215,280,6,19,15,10,13.0
000-cultural_rangers-trail-reckoning.md#chunk_009,000-cultural_rangers-trail-reckoning.md,Abbreviated and emergency notation,146,213,6,19,15,10,14.0
000-cultural_rangers-trail-reckoning.md#chunk_010,000-cultural_rangers-trail-reckoning.md,Comparison with Dvergr notation,198,265,6,19,15,10,14.0
000-cultural_rangers-trail-reckoning.md#chunk_011,000-cultural_rangers-trail-reckoning.md,Route designation system — geographic encoding logic,343,413,6,19,15,10,18.0
000-cultural_rangers-trail-reckoning.md#chunk_012,000-cultural_rangers-trail-reckoning.md,Route code examples,63,128,6,19,15,10,13.0
000-cultural_rangers-trail-reckoning.md#chunk_013,000-cultural_rangers-trail-reckoning.md,Historical evolution,79,143,6,19,15,10,11.0
000-cultural_rangers-trail-reckoning.md#chunk_014,000-cultural_rangers-trail-reckoning.md,Waystation network — infrastructure and positioning,449,518,6,19,15,10,16.0
000-cultural_rangers-trail-reckoning.md#chunk_015,000-cultural_rangers-trail-reckoning.md,Waystation network — infrastructure and positioning,166,235,6,19,15,10,16.0
000-cultural_rangers-trail-reckoning.md#chunk_016,000-cultural_rangers-trail-reckoning.md,Waystation naming conventions,236,301,6,19,15,10,13.0
000-cultural_rangers-trail-reckoning.md#chunk_017,000-cultural_rangers-trail-reckoning.md,Name disambiguation,65,128,6,19,15,10,11.0
000-cultural_rangers-trail-reckoning.md#chunk_018,000-cultural_rangers-trail-reckoning.md,Caravan tracking and position reporting,449,517,6,19,15,10,15.0
000-cultural_rangers-trail-reckoning.md#chunk_019,000-cultural_rangers-trail-reckoning.md,Caravan tracking and position reporting,107,175,6,19,15,10,15.0
000-cultural_rangers-trail-reckoning.md#chunk_020,000-cultural_rangers-trail-reckoning.md,Resupply coordination and cache management,392,460,6,19,15,10,15.0
000-cultural_rangers-trail-reckoning.md#chunk_021,000-cultural_rangers-trail-reckoning.md,The 601-year continuous dataset,328,395,6,19,15,10,14.0
000-cultural_rangers-trail-reckoning.md#chunk_022,000-cultural_rangers-trail-reckoning.md,Travel time evolution and climate proxies,377,445,6,19,15,10,16.0
000-cultural_skaldic-year-naming.md#chunk_001,000-cultural_skaldic-year-naming.md,(none),48,100,6,20,14,10,
000-cultural_skaldic-year-naming.md#chunk_002,000-cultural_skaldic-year-naming.md,1) Introduction and scope,165,231,6,20,14,10,14.0
000-cultural_skaldic-year-naming.md#chunk_003,000-cultural_skaldic-year-naming.md,Why commemorative naming matters,249,315,6,20,14,10,14.0
000-cultural_skaldic-year-naming.md#chunk_004,000-cultural_skaldic-year-naming.md,Operational vs cultural coordination distinction,75,143,6,20,14,10,15.0
000-cultural_skaldic-year-naming.md#chunk_005,000-cultural_skaldic-year-naming.md,Annual Moot convening — timing and logistics,305,375,6,20,14,10,18.0
000-cultural_skaldic-year-naming.md#chunk_006,000-cultural_skaldic-year-naming.md,Proposal submission process,128,193,6,20,14,10,13.0
000-cultural_skaldic-year-naming.md#chunk_007,000-cultural_skaldic-year-naming.md,Deliberation criteria and debate structure,178,245,6,20,14,10,15.0
000-cultural_skaldic-year-naming.md#chunk_008,000-cultural_skaldic-year-naming.md,Voting protocols and ratification,265,331,6,20,14,10,14.0
000-cultural_skaldic-year-naming.md#chunk_009,000-cultural_skaldic-year-naming.md,Representative year-names across five Ages,449,517,6,20,14,10,15.0
000-cultural_skaldic-year-naming.md#chunk_010,000-cultural_skaldic-year-naming.md,Representative year-names across five Ages,353,421,6,20,14,10,15.0
000-cultural_skaldic-year-naming.md#chunk_011,000-cultural_skaldic-year-naming.md,Council composition and authority structure,145,213,6,20,14,10,15.0
000-cultural_skaldic-year-naming.md#chunk_012,000-cultural_skaldic-year-naming.md,Year-name registry and concordance maintenance,179,247,6,20,14,10,15.0
000-cultural_skaldic-year-naming.md#chunk_013,000-cultural_skaldic-year-naming.md,Population familiarity rates across demographics,257,325,6,20,14,10,15.0
000-cultural_skaldic-year-naming.md#chunk_014,000-cultural_skaldic-year-naming.md,Oral versus written context usage patterns,152,221,6,20,14,10,16.0
000-cultural_skaldic-year-naming.md#chunk_015,000-cultural_skaldic-year-naming.md,Dual-notation contract conventions,162,227,6,20,14,10,13.0
000-cultural_skaldic-year-naming.md#chunk_016,000-cultural_skaldic-year-naming.md,Related calendar systems,42,107,6,20,14,10,13.0
000-cultural_skaldic-year-naming.md#chunk_017,000-cultural_skaldic-year-naming.md,Historical context and cultural evolution,171,239,6,20,14,10,15.0
000-cultural_skaldic-year-naming.md#chunk_018,000-cultural_skaldic-year-naming.md,Document history,156,219,6,20,14,10,11.0
000-gazetteer_depth-sickness.md#chunk_001,000-gazetteer_depth-sickness.md,(none),37,91,6,18,18,10,
000-gazetteer_depth-sickness.md#chunk_002,000-gazetteer_depth-sickness.md,§1: Phenomenon Overview & Classification,258,327,6,18,18,10,15.0
000-gazetteer_depth-sickness.md#chunk_003,000-gazetteer_depth-sickness.md,Atmospheric Pressure Effects,189,256,6,18,18,10,13.0
000-gazetteer_depth-sickness.md#chunk_004,000-gazetteer_depth-sickness.md,Sensory Deprivation & Circadian Disruption,152,221,6,18,18,10,15.0
000-gazetteer_depth-sickness.md#chunk_005,000-gazetteer_depth-sickness.md,"Stage 1: Mild Onset (1500-1700m, Days 1-5)",133,205,6,18,18,10,18.0
000-gazetteer_depth-sickness.md#chunk_006,000-gazetteer_depth-sickness.md,"Stage 2: Moderate Progression (1700-2000m, Days 6-14)",174,245,6,18,18,10,18.0
000-gazetteer_depth-sickness.md#chunk_007,000-gazetteer_depth-sickness.md,Stage 3: Severe Crisis (>2000m or prolonged exposure at 1700-2000m),202,278,6,18,18,10,22.0
000-gazetteer_depth-sickness.md#chunk_008,000-gazetteer_depth-sickness.md,§4: Field Protocols & Management Strategies,9,79,6,18,18,10,16.0
000-gazetteer_depth-sickness.md#chunk_009,000-gazetteer_depth-sickness.md,BEFORE — Pre-Expedition Screening & Preparation,159,230,6,18,18,10,16.0
000-gazetteer_depth-sickness.md#chunk_010,000-gazetteer_depth-sickness.md,DURING — Active Symptom Monitoring & Escalation Response,223,296,6,18,18,10,19.0
000-gazetteer_depth-sickness.md#chunk_011,000-gazetteer_depth-sickness.md,AFTER — Post-Expedition Decompression & Recovery,144,214,6,18,18,10,16.0
000-gazetteer_depth-sickness.md#chunk_012,000-gazetteer_depth-sickness.md,Svartalfheim Black Veins (Primary Documentation Source),146,217,6,18,18,10,16.0
000-gazetteer_depth-sickness.md#chunk_013,000-gazetteer_depth-sickness.md,Dvergr Clans — Genetic Adaptation & Pressure Tolerance,166,239,6,18,18,10,19.0
000-gazetteer_depth-sickness.md#chunk_014,000-gazetteer_depth-sickness.md,Jötun-Readers — Medical Research & Acclimation Protocol Development,172,245,6,18,18,10,19.0
000-gazetteer_depth-sickness.md#chunk_015,000-gazetteer_depth-sickness.md,§7: Research Priorities & Open Questions,205,275,6,18,18,10,16.0
000-gazetteer_depth-sickness.md#chunk_016,000-gazetteer_depth-sickness.md,§8: Document History,150,217,6,18,18,10,13.0
000-gazetteer_gleipnir-containment-pens.md#chunk_001,000-gazetteer_gleipnir-containment-pens.md,(none),137,188,6,16,16,10,
000-gazetteer_gleipnir-containment-pens.md#chunk_002,000-gazetteer_gleipnir-containment-pens.md,1.1 Location and Topography,128,193,6,16,16,10,14.0
000-gazetteer_gleipnir-containment-pens.md#chunk_003,000-gazetteer_gleipnir-containment-pens.md,1.2 Environmental Conditions,91,154,6,16,16,10,13.0
000-gazetteer_gleipnir-containment-pens.md#chunk_004,000-gazetteer_gleipnir-containment-pens.md,1.3 Structural Integrity Assessment,88,153,6,16,16,10,14.0
000-gazetteer_gleipnir-containment-pens.md#chunk_005,000-gazetteer_gleipnir-containment-pens.md,2.1 Original Purpose and Strategic Context,161,228,6,16,16,10,16.0
000-gazetteer_gleipnir-containment-pens.md#chunk_006,000-gazetteer_gleipnir-containment-pens.md,2.2 Fenrir-Pattern Specifications,182,245,6,16,16,10,13.0
000-gazetteer_gleipnir-containment-pens.md#chunk_007,000-gazetteer_gleipnir-containment-pens.md,3.1 H-Hour Event Sequence,270,335,6,16,16,10,14.0
000-gazetteer_gleipnir-containment-pens.md#chunk_008,000-gazetteer_gleipnir-containment-pens.md,4.1 Resident Threats,244,308,6,16,16,10,13.0
000-gazetteer_gleipnir-containment-pens.md#chunk_009,000-gazetteer_gleipnir-containment-pens.md,5.1 Genetic Archive Recovery,158,223,6,16,16,10,14.0
000-gazetteer_gleipnir-containment-pens.md#chunk_010,000-gazetteer_gleipnir-containment-pens.md,5.2 Ethical Research Constraints,42,107,6,16,16,10,14.0
000-gazetteer_gleipnir-containment-pens.md#chunk_011,000-gazetteer_gleipnir-containment-pens.md,6.1 Grove-Clans: Shameful Legacy and Protective Custody,152,221,6,16,16,10,18.0
000-gazetteer_gleipnir-containment-pens.md#chunk_012,000-gazetteer_gleipnir-containment-pens.md,6.2 Jötun-Readers: Archive Recovery Priority,114,180,6,16,16,10,15.0
000-gazetteer_gleipnir-containment-pens.md#chunk_013,000-gazetteer_gleipnir-containment-pens.md,6.3 Iron-Banes: Extermination Imperative,100,165,6,16,16,10,14.0
